TIME,LABEL
2.803625000,101.1
3.209354167,101.2
3.699229167,101.3
4.209062500,101.4
4.667000000,102.1
5.133750000,102.2
5.601833333,102.3
6.075270833,102.4
6.566895833,103.1
7.082458333,103.2
7.632062500,103.3
8.073312500,103.4
8.548937500,104.1
8.994250000,104.2
9.436708333,104.3
9.917500000,104.4
10.383416667,1.4
10.845166667,2.1
11.366125000,2.2
11.831125000,2.3
12.298395833,2.4
12.754291667,3.1
13.251020833,3.2
13.726187500,3.3
14.261166667,3.4
14.734791667,4.1
15.235166667,4.2
15.727916667,4.3
16.201020833,4.4
16.693791667,5.1
17.160708333,5.2
17.643333333,5.3
18.103479167,5.4
18.584104167,6.1
19.056583333,6.2
19.510979167,6.3
19.961083333,6.4
20.484083333,7.1
20.938666667,7.2
21.441395833,7.3
21.937083333,7.4
22.489187500,8.1
22.970875000,8.2
23.398041667,8.3
23.805250000,8.4
24.346416667,9.1
24.785333333,9.2
25.268958333,9.3
25.703916667,9.4
26.200895833,10.1
26.674812500,10.2
27.166333333,10.3
27.661250000,10.4
28.166020833,11.1
28.647395833,11.2
29.116000000,11.3
29.589250000,11.4
30.081937500,12.1
30.538645833,12.2
31.007500000,12.3
31.511104167,12.4
31.975791667,13.1
32.448979167,13.2
32.928604167,13.3
33.386562500,13.4
33.874166667,14.1
34.388500000,14.2
34.861770833,14.3
35.365208333,14.4
35.850875000,15.1
36.346416667,15.2
36.792104167,15.3
37.285000000,15.4
37.785062500,16.1
38.247041667,16.2
38.720958333,16.3
39.187083333,16.4
39.667666667,17.1
40.141666667,17.2
40.622750000,17.3
41.097416667,17.4
41.584979167,18.1
42.045437500,18.2
42.552375000,18.3
43.033854167,18.4
43.517083333,19.1
43.993770833,19.2
44.482979167,19.3
44.907625000,19.4
45.410645833,20.1
45.877437500,20.2
46.383125000,20.3
46.880520833,20.4
47.358541667,21.1
47.826000000,21.2
48.311541667,21.3
48.808458333,21.4
49.290770833,22.1
49.748520833,22.2
50.235104167,22.3
50.691583333,22.4
51.192500000,23.1
51.651395833,23.2
52.148791667,23.3
52.619270833,23.4
53.109895833,24.1
53.597395833,24.2
54.074875000,24.3
54.555916667,24.4
55.042187500,25.1
55.540208333,25.2
56.003291667,25.3
56.485041667,25.4
56.944041667,26.1
57.425687500,26.2
57.887354167,26.3
58.375062500,26.4
58.815354167,27.1
59.341041667,27.2
59.806750000,27.3
60.300020833,27.4
60.763916667,28.1
61.229250000,28.2
61.723041667,28.3
62.207000000,28.4
62.708104167,29.1
63.184958333,29.2
63.647375000,29.3
64.152166667,29.4
64.608854167,30.1
65.094645833,30.2
65.586250000,30.3
66.071625000,30.4
66.538354167,31.1
67.024666667,31.2
67.507854167,31.3
67.996708333,31.4
68.438479167,32.1
68.926666667,32.2
69.447833333,32.3
69.923750000,32.4
70.384416667,33.1
70.872625000,33.2
71.352750000,33.3
71.869354167,33.4
72.320541667,34.1
72.776708333,34.2
73.242791667,34.3
73.733666667,34.4
74.175375000,35.1
74.690020833,35.2
75.153750000,35.3
75.617020833,35.4
76.111645833,36.1
76.635020833,36.2
77.082229167,36.3
77.566479167,36.4
78.044125000,37.1
78.542479167,37.2
79.003458333,37.3
79.499375000,37.4
79.949541667,38.1
80.417833333,38.2
80.907333333,38.3
81.359291667,38.4
81.861333333,39.1
82.350250000,39.2
82.856229167,39.3
83.359395833,39.4
83.799062500,40.1
84.308437500,40.2
84.768500000,40.3
85.255687500,40.4
85.759145833,41.1
86.230583333,41.2
86.717208333,41.3
87.202875000,41.4
87.674604167,42.1
88.148604167,42.2
88.621333333,42.3
89.088479167,42.4
89.574395833,43.1
